lang	skill	file	utterance
ru-RU	ovos-skill-weather	mainly_clear.dialog	в основном чистый
sv-FI	ovos-skill-weather	mainly_clear.dialog	pääosin kirkas
sv-SE	ovos-skill-weather	mainly_clear.dialog	i huvudsak klar
tr-TR	ovos-skill-weather	mainly_clear.dialog	çoğunlukla açık
ca-ES	ovos-skill-weather	meter_per_second.dialog	metres per segon
cs-CZ	ovos-skill-weather	meter_per_second.dialog	metrů za sekundu
da-DK	ovos-skill-weather	meter_per_second.dialog	meter per sekund
de-DE	ovos-skill-weather	meter_per_second.dialog	meter pro sekunde
en-US	ovos-skill-weather	meter_per_second.dialog	meters per second
es-ES	ovos-skill-weather	meter_per_second.dialog	metros por segundo
eu-ES	ovos-skill-weather	meter_per_second.dialog	metro segundoko
fr-FR	ovos-skill-weather	meter_per_second.dialog	mètres par seconde
gl-ES	ovos-skill-weather	meter_per_second.dialog	metros por segundo
hu-HU	ovos-skill-weather	meter_per_second.dialog	méter másodpercenként
it-IT	ovos-skill-weather	meter_per_second.dialog	metri al secondo
kab	ovos-skill-weather	meter_per_second.dialog	imitren i tsint
nl-NL	ovos-skill-weather	meter_per_second.dialog	meters per seconde
oc-FR	ovos-skill-weather	meter_per_second.dialog	de mètres per segond
pl-PL	ovos-skill-weather	meter_per_second.dialog	metrów na sekundę
pt-BR	ovos-skill-weather	meter_per_second.dialog	metros por segundo
pt-PT	ovos-skill-weather	meter_per_second.dialog	metros por segundo
ru-RU	ovos-skill-weather	meter_per_second.dialog	метров в секунду.
sv-FI	ovos-skill-weather	meter_per_second.dialog	metriä sekunnissa
sv-SE	ovos-skill-weather	meter_per_second.dialog	meter per sekund
tr-TR	ovos-skill-weather	meter_per_second.dialog	saniye başına metre
ca-ES	ovos-skill-weather	miles_per_hour.dialog	milles per hora
cs-CZ	ovos-skill-weather	miles_per_hour.dialog	mil za hodinu
da-DK	ovos-skill-weather	miles_per_hour.dialog	mil i timen
de-DE	ovos-skill-weather	miles_per_hour.dialog	meilen pro stunde
en-US	ovos-skill-weather	miles_per_hour.dialog	miles per hour
es-ES	ovos-skill-weather	miles_per_hour.dialog	millas por hora
eu-ES	ovos-skill-weather	miles_per_hour.dialog	milia orduko
fr-FR	ovos-skill-weather	miles_per_hour.dialog	miles par heure
gl-ES	ovos-skill-weather	miles_per_hour.dialog	millas por hora
hu-HU	ovos-skill-weather	miles_per_hour.dialog	mérföld per óra
it-IT	ovos-skill-weather	miles_per_hour.dialog	miglia all'ora
kab	ovos-skill-weather	miles_per_hour.dialog	mil i lsaɛa
nl-NL	ovos-skill-weather	miles_per_hour.dialog	mijl per uur
oc-FR	ovos-skill-weather	miles_per_hour.dialog	de milas per ora
pl-PL	ovos-skill-weather	miles_per_hour.dialog	mil na godzinę
pt-BR	ovos-skill-weather	miles_per_hour.dialog	milhas por hora
pt-PT	ovos-skill-weather	miles_per_hour.dialog	quilómetros por hora
ru-RU	ovos-skill-weather	miles_per_hour.dialog	миль в час
sv-FI	ovos-skill-weather	miles_per_hour.dialog	mailia tunnissa
sv-SE	ovos-skill-weather	miles_per_hour.dialog	miles per timme
tr-TR	ovos-skill-weather	miles_per_hour.dialog	saatte mil
ca-ES	ovos-skill-weather	millimeter.dialog	mil·límetre
cs-CZ	ovos-skill-weather	millimeter.dialog	milimetr
da-DK	ovos-skill-weather	millimeter.dialog	millimeter
de-DE	ovos-skill-weather	millimeter.dialog	millimeter
en-US	ovos-skill-weather	millimeter.dialog	millimeter
es-ES	ovos-skill-weather	millimeter.dialog	milímetro
eu-ES	ovos-skill-weather	millimeter.dialog	milimetro
fr-FR	ovos-skill-weather	millimeter.dialog	millimètre
gl-ES	ovos-skill-weather	millimeter.dialog	milímetro
hu-HU	ovos-skill-weather	millimeter.dialog	milliméter
it-IT	ovos-skill-weather	millimeter.dialog	millimetro
kab	ovos-skill-weather	millimeter.dialog	milimitr
nl-NL	ovos-skill-weather	millimeter.dialog	millimeter
oc-FR	ovos-skill-weather	millimeter.dialog	millimètre
pl-PL	ovos-skill-weather	millimeter.dialog	milimetr
pt-BR	ovos-skill-weather	millimeter.dialog	millimeter
pt-PT	ovos-skill-weather	millimeter.dialog	milímetro
ru-RU	ovos-skill-weather	millimeter.dialog	миллиметр
sv-FI	ovos-skill-weather	millimeter.dialog	millimetri
sv-SE	ovos-skill-weather	millimeter.dialog	millimeter
tr-TR	ovos-skill-weather	millimeter.dialog	milimetre
ca-ES	ovos-skill-weather	moderate_rain.dialog	pluja moderada
cs-CZ	ovos-skill-weather	moderate_rain.dialog	mírný déšť
da-DK	ovos-skill-weather	moderate_rain.dialog	moderat regn
de-DE	ovos-skill-weather	moderate_rain.dialog	mäßiger regen
en-US	ovos-skill-weather	moderate_rain.dialog	moderate rain
es-ES	ovos-skill-weather	moderate_rain.dialog	lluvia moderada
eu-ES	ovos-skill-weather	moderate_rain.dialog	euri moderatua
fr-FR	ovos-skill-weather	moderate_rain.dialog	pluie modérée
gl-ES	ovos-skill-weather	moderate_rain.dialog	chuvia moderada
hu-HU	ovos-skill-weather	moderate_rain.dialog	mérsékelt eső
it-IT	ovos-skill-weather	moderate_rain.dialog	pioggia moderata
kab	ovos-skill-weather	moderate_rain.dialog	ageffur alemmas
nl-NL	ovos-skill-weather	moderate_rain.dialog	matige regen
oc-FR	ovos-skill-weather	moderate_rain.dialog	pluèja moderada
pl-PL	ovos-skill-weather	moderate_rain.dialog	umiarkowany deszcz
pt-BR	ovos-skill-weather	moderate_rain.dialog	chuva moderada
pt-PT	ovos-skill-weather	moderate_rain.dialog	chuva moderada
ru-RU	ovos-skill-weather	moderate_rain.dialog	умеренный дождь
sv-FI	ovos-skill-weather	moderate_rain.dialog	kohtalainen sade
sv-SE	ovos-skill-weather	moderate_rain.dialog	måttligt regn
tr-TR	ovos-skill-weather	moderate_rain.dialog	orta dereceli yağmur
ca-ES	ovos-skill-weather	moderate_rain_showers.dialog	xàfecs moderats
cs-CZ	ovos-skill-weather	moderate_rain_showers.dialog	mírné dešťové přeháňky
da-DK	ovos-skill-weather	moderate_rain_showers.dialog	moderat regnbyger
de-DE	ovos-skill-weather	moderate_rain_showers.dialog	mäßige regenschauer
en-US	ovos-skill-weather	moderate_rain_showers.dialog	moderate rain showers
es-ES	ovos-skill-weather	moderate_rain_showers.dialog	chubascos moderados
eu-ES	ovos-skill-weather	moderate_rain_showers.dialog	euri-zaparrada moderatuak
fr-FR	ovos-skill-weather	moderate_rain_showers.dialog	modéré averses de pluie
gl-ES	ovos-skill-weather	moderate_rain_showers.dialog	chuvascada moderada
